cell_id,celltype,x,y
eppmlkhb-1,11q13 Invasive Tumor Cells,4479.68505859375,3144.64013671875
ekplnmkb-1,Endothelial Cells,5129.91796875,1583.80224609375
cogmkbon-1,Endothelial Cells,783.2874755859375,2013.990234375
ohpeabdl-1,11q13 Invasive Tumor Cells,5474.091796875,3761.529296875
bfebfdeh-1,CXCL14+ Fibroblasts,2925.375732421875,1184.2279052734375
hhchgela-1,11q13 Invasive Tumor Cells (G1/S),4244.31591796875,5188.72314453125
fbpbpage-1,T Lymphocytes,5121.52197265625,4182.72802734375
ackamddm-1,Luminal-like Amorphous DCIS Cells,1422.3775634765625,3318.5732421875
agealene-1,T Lymphocytes,4207.8125,5302.8857421875
nalfbeab-1,CXCL14+ Fibroblasts,7127.3671875,3585.1220703125
nfhloflj-1,11q13 Invasive Tumor Cells,7180.97998046875,4494.24658203125
eaipcejc-1,11q13 Invasive Tumor Cells,3490.30322265625,3585.226806640625
mgodhpmh-1,11q13 Invasive Tumor Cells,8976.568359375,4514.220703125
ghcegnba-1,Macrophages,3651.6142578125,3516.84033203125
inlgmgdj-1,11q13 Invasive Tumor Cells,6130.15283203125,2567.06982421875
jnnefbjn-1,11q13 Invasive Tumor Cells (G1/S),8594.9833984375,1055.553466796875
aegljinp-1,11q13 Invasive Tumor Cells,4019.4521484375,5093.2587890625
cegfpjel-1,T Lymphocytes,8737.4833984375,438.86962890625
ehadnlde-1,11q13 Invasive Tumor Cells,3463.853515625,4015.90234375
mdkgbmba-1,Pericytes,9288.7158203125,4676.8134765625
mgjballe-1,11q13 Invasive Tumor Cells,9096.3623046875,4384.26513671875
bhllifpj-1,B Cells,5386.69775390625,1612.355712890625
hajgcfjp-1,"CAFs, DCIS Associated",4709.50341796875,4678.1171875
fphnifhi-1,Luminal-like Amorphous DCIS Cells,3748.68505859375,1068.8157958984375
bddinhei-1,11q13 Invasive Tumor Cells,4971.08837890625,1728.694580078125
gjmnoljp-1,"CAFs, DCIS Associated",2344.223876953125,3421.865966796875
miekhaeo-1,Myoepithelial Cells,9194.9306640625,3713.627197265625
kenldenp-1,"CAFs, Invasive Associated",9548.876953125,2829.651123046875
cahmkjkc-1,B Cells,8897.01953125,903.4421997070312
nldghpfg-1,11q13 Invasive Tumor Cells,5250.94384765625,3584.026123046875
ijefgpkn-1,11q13 Invasive Tumor Cells,5578.92822265625,3319.41748046875
cnegepid-1,Luminal-like Amorphous DCIS Cells,1930.3394775390625,2829.924072265625
llgbkiof-1,Endothelial Cells,9336.7080078125,3462.5185546875
ghkjibeb-1,Luminal-like Amorphous DCIS Cells,3694.677734375,3112.85205078125
efcigphm-1,11q13 Invasive Tumor Cells,3825.66796875,4045.9189453125
ehniighk-1,11q13 Invasive Tumor Cells,4896.8857421875,1206.1861572265625
jjabjjmo-1,11q13 Invasive Tumor Cells,6253.59130859375,1157.389892578125
jmnbkcjb-1,11q13 Invasive Tumor Cells,8307.7587890625,768.8865966796875
eaabmlfi-1,11q13 Invasive Tumor Cells,4353.02392578125,3121.78857421875
lkicfkfe-1,Basal-like Structured DCIS Cells,8747.796875,3186.39990234375
kbppeaho-1,11q13 Invasive Tumor Cells,9776.6015625,1598.521240234375
fngmilda-1,Endothelial Cells,4463.8857421875,1909.531982421875
cemifjgd-1,Luminal-like Amorphous DCIS Cells,341.6001892089844,2957.7734375
logpfkdd-1,11q13 Invasive Tumor Cells,9227.2802734375,3401.552734375
ihiklldm-1,"CAFs, DCIS Associated",382.8311767578125,3185.932373046875
npamdaln-1,11q13 Invasive Tumor Cells (G1/S),6620.2490234375,3751.84228515625
folgjdcf-1,"CAFs, DCIS Associated",3486.718017578125,1632.195556640625
lmngjjfh-1,11q13 Invasive Tumor Cells,9549.923828125,2985.071533203125
kodiimdo-1,11q13 Invasive Tumor Cells,8487.9189453125,1516.0252685546875
injnajdc-1,Macrophages,6244.7490234375,2357.462158203125
jjcklkme-1,"CAFs, Invasive Associated",5919.228515625,1050.08935546875
mologgil-1,Endothelial Cells,5268.5703125,4443.9794921875
jchecgig-1,Pericytes,6515.900390625,1253.8853759765625
